SKU,Name,Category,MSRP,Dealer Price
U839269061+01TL,26X9 CYCLONE 5 5X4.75 5.04 01 70.30,Wheels,1625.0,1218.75
U839269061+01TR,26X9 CYCLONE 5 5X4.75 5.04 01 70.30,Wheels,1625.0,1218.75
U556269077+25TL,26X9 MAFIOSO 6 6X5.5 5.98 25 78.10,Wheels,1625.0,1218.75
U556269077+25TR,26X9 MAFIOSO 6 6X5.5 5.98 25 78.10,Wheels,1625.0,1218.75
AF142-19853035BKA1,AF142 3PC. 19X8.5 5X108 +35 BLACK,Wheels,1209.0,906.75
AF142-19953014BKA1,AF142 3PC. 19X9.5 5X108 +14 BLACK,Wheels,1209.0,906.75
AF173-22105630BRA1,AF173 2PC 22X10 5X112 +30 BRUSHED,Wheels,953.0,714.75
AF173-22905624BRA1,AF173 2PC 22X9 5X112 +24 BRUSHED,Wheels,953.0,714.75
AF174-22105630BKA1,AF174 2PC 22X10 5X112 +30 G-BLACK,Wheels,818.0,613.5
AF174-22905624BKA1,AF174 2PC 22X9 5X112 +24 G-BLACK,Wheels,818.0,613.5
AF832-26105004GLA1,AF832 3PC 26X10 5X127 +4 GOLD TINT,Wheels,2450.0,1837.5
AF832-26905006GLA1,AF832 3PC 26X9 5X127 +6 GOLD TINT,Wheels,2450.0,1837.5
AF841-2410346NBRLF,AF841 MONO 24X10 5X4.75 -6 BRUSHED LEFT,Wheels,1000.0,750.0
AF841-2410346NBRRT,AF841 MONO 24X10 5X4.75 -6 BRUSHED RIGHT,Wheels,1000.0,750.0
AF841-24903405BRLF,AF841 MONO 24X9 5X4.75 +5 BRUSHED LEFT,Wheels,1000.0,750.0
AF841-24903405BRRT,AF841 MONO 24X9 5X4.75 +5 BRUSHED RIGHT,Wheels,1000.0,750.0
AF862-26105003BRLF,AF862 2PC 26X10 5X127 +3 BRUSHED LEFT,Wheels,1337.0,1002.75
AF862-26105003BRRT,AF862 2PC 26X10 5X127 +3 BRUSHED RIGHT,Wheels,1337.0,1002.75
AF862-26905005BRLF,AF862 2PC 26X9 5X127 +5 BRUSHED LEFT,Wheels,1337.0,1002.75
AF862-26905005BRRT,AF862 2PC 26X9 5X127 +5 BRUSHED RIGHT,Wheels,1337.0,1002.75
